Common Name,Binomial Name,Genus,Species,Sub-Species,Kingdom Name,Nativeness,Book Category,seen wild locally,photo,uncertain,notes
Wartleaf Ceanothus,Ceanothus papillosus,Ceanothus,papillosus,,Plants,Local Native,Shrubs,Yes,Untitled 79.png,No,
Wood Rose,Rosa gymnocarpa,Rosa,gymnocarpa,,Plants,Local Native,Shrubs,Yes,IMG_6779.HEIC,No,
Woolly Leaf Manzanita,Arctostaphylos crustacea,Arctostaphylos,crustacea,,Plants,Local Native,Shrubs,Yes,Untitled 20 1.png,No,
Yerba Santa,Eriodictyon californicum,Eriodictyon,californicum,,Plants,Local Native,Shrubs,Yes,Untitled 80.png,No,
Bigleaf Maple,Acer macrophyllum,Acer,macrophyllum,,Plants,Local Native,Trees,Yes,,No,
Blue Elder,Sambucus cerulea,Sambucus,cerulea,,Plants,Local Native,Trees,Yes,Untitled 3 57.png; Untitled 81.png,No,
California Bay Laurel,Umbellularia californica,Umbellularia,californica,,Plants,Local Native,Trees,Yes,,No,
California Black Oak,Quercus kelloggii,Quercus,kelloggii,,Plants,Local Native,Trees,Yes,Untitled 82.png,No,
California Buckeye,Aesculus californica,Aesculus,californica,,Plants,Local Native,Trees,Yes,Untitled 83.png,No,
California Flannelbush,Fremontodendron californicum,Fremontodendron,californicum,,Plants,Regional Native,Trees,No,IMG_6213.HEIC,No,
Canyon Live Oak,Quercus chrysolepis,Quercus,chrysolepis,,Plants,Local Native,Trees,Yes,,No,
Coast Redwood,Sequoia sempervirens,Sequoia,sempervirens,,Plants,Local Native,Trees,Yes,,No,
Coulter Pine,Pinus coulteri,Pinus,coulteri,,Plants,Local Native,Trees,Yes,,Yes,
Deodar Cedar,Cedrus deodara,Cedrus,deodara,,Plants,Introduced,Trees,Yes,Untitled 84.png,No,
Douglas-fir,Pseudotsuga menziesii,Pseudotsuga,menziesii,,Plants,Local Native,Trees,Yes,,No,
Milkflower Cotoneaster,Cotoneaster coriaceus,Cotoneaster,coriaceus,,Plants,Introduced,Trees,No,CF4E56BF-7852-44E5-B28B-34E8804166D9.JPG,No,
Monterey Pine,Pinus radiata,Pinus,radiata,,Plants,Regional Native,Trees,Yes,Untitled 3 58.png,Yes,
Pacific Madrone,Arbutus menziesii,Arbutus,menziesii,,Plants,Local Native,Trees,Yes,Untitled 85.png,No,
Tan Oak,Notholithocarpus densiflorus,Notholithocarpus,densiflorus,,Plants,Local Native,Trees,Yes,,No,
Toyon,Heteromeles arbutifolia,Heteromeles,arbutifolia,,Plants,Local Native,Trees,Yes,,No,
